longitude;latitude;housing_median_age;total_rooms;total_bedrooms;ocean_proximity;median_house_value
-11851;3428;290;42390;6530;<1H OCEAN;3017000
-11925;3578;350;19270;3860;INLAND;699000
-11824;3401;480;3960;990;<1H OCEAN;1075000
-11819;341;420;15770;3790;<1H OCEAN;1539000
-12224;378;490;28380;7490;NEAR BAY;1693000
-11819;3395;440;14360;2710;<1H OCEAN;1791000
-12135;3856;160;26290;4910;INLAND;1402000
-12224;3747;350;22830;4910;NEAR OCEAN;3186000
-1181;3401;290;20770;5640;<1H OCEAN;1892000
-11762;3347;40;18120;2550;NEAR OCEAN;2942000
-11836;3399;430;26570;5480;<1H OCEAN;2871000
-11835;3393;330;20400;5760;<1H OCEAN;1706000
-12222;3746;370;25860;4950;NEAR OCEAN;3427000
-11813;3391;360;19670;3160;<1H OCEAN;1906000
-11788;3371;300;17390;3590;<1H OCEAN;1852000
-12177;3765;160;42900;5540;INLAND;3275000
-11794;3405;340;15190;3040;<1H OCEAN;1612000
-12163;3918;130;19070;3470;INLAND;1340000
-11815;3419;480;18540;3600;<1H OCEAN;1616000
-11826;3406;380;7150;2820;<1H OCEAN;2250000
-11819;3414;380;18260;3000;<1H OCEAN;2915000
-11797;3391;190;80960;13180;<1H OCEAN;2695000
-11983;3671;430;3550;810;INLAND;739000
-12191;3726;250;42580;7190;<1H OCEAN;2672000
-11717;3281;330;30640;5060;NEAR OCEAN;1787000
-11841;3388;400;9250;2540;<1H OCEAN;5000010
-12198;3733;300;26450;4620;<1H OCEAN;3305000
-12242;3764;410;980;200;NEAR OCEAN;2125000
-12179;3723;160;22400;3000;<1H OCEAN;2896000
-12207;3771;360;28790;4800;NEAR BAY;2415000
-12148;3855;520;25080;3600;INLAND;2287000
-1212;3869;260;30770;6070;INLAND;1375000
-12133;3801;270;16120;2340;INLAND;1551000
-11797;3384;250;24710;5180;<1H OCEAN;1917000
-11789;3407;320;23740;4500;<1H OCEAN;2003000
-11837;3412;340;28210;3990;<1H OCEAN;5000010
-11836;3398;450;15590;3050;<1H OCEAN;2594000
-11707;3302;170;28630;6650;<1H OCEAN;1482000
-11892;3441;220;27020;6550;<1H OCEAN;1734000
-1184;3405;430;10280;1450;<1H OCEAN;5000010
-1221;3739;310;11170;3040;NEAR BAY;3531000
-12122;3943;170;22540;4850;INLAND;923000
-12066;3972;150;37630;7840;INLAND;1305000
-11816;3397;310;13630;4280;<1H OCEAN;1911000
-11799;337;250;20170;3570;<1H OCEAN;2294000
-12201;3835;180;44860;7230;INLAND;1897000
-11753;341;50;21850;4880;INLAND;1030000
-11743;3407;180;24530;5370;INLAND;953000
-11717;3328;160;19210;3120;<1H OCEAN;3768000
-12233;3798;320;19670;3480;NEAR BAY;1501000
-12233;3838;280;10200;1690;INLAND;2875000
-11723;3274;350;26150;5250;NEAR OCEAN;2382000
-11738;3422;160;7740;1220;INLAND;2213000
-12216;3775;350;6670;1400;NEAR BAY;943000
-1182;3406;460;4530;1190;<1H OCEAN;1125000
-1183;3385;380;1230;360;<1H OCEAN;2000000
-12224;3785;520;14670;1900;NEAR BAY;3521000
-11719;3408;220;24670;5550;INLAND;847000
-11839;3415;360;26960;7130;<1H OCEAN;3735000
-11765;3404;280;23600;6070;INLAND;1000000
-11999;3894;220;31190;6400;INLAND;1185000
-11798;3364;200;18510;4950;NEAR OCEAN;1375000
-12181;3727;220;29960;6950;<1H OCEAN;2097000
-11828;3405;410;17880;7740;<1H OCEAN;1589000
-12147;3852;420;23160;5150;INLAND;604000
-1192;3425;250;1950;590;NEAR OCEAN;1875000
-11731;3282;420;27850;3890;NEAR OCEAN;5000010
-11828;3408;420;16180;5220;<1H OCEAN;1820000
-1215;3857;440;13750;3510;INLAND;875000
-11821;3392;350;16690;4450;<1H OCEAN;1173000
-1146;336;210;19880;4830;INLAND;620000
-11836;3394;390;13900;4100;<1H OCEAN;1568000
-11802;3395;360;16320;2950;<1H OCEAN;1795000
-12252;3867;350;17050;3210;INLAND;3000000
-11802;3413;340;19660;3190;INLAND;4290000
-11819;3378;350;15110;5930;NEAR OCEAN;1875000
-11808;3378;340;22870;3470;<1H OCEAN;3720000
-11723;3394;70;131950;26960;INLAND;1420000
-12244;3776;520;25090;4960;NEAR BAY;4054000
-11792;3394;270;45660;6200;<1H OCEAN;2677000
-1183;3409;250;23450;8520;<1H OCEAN;2056000
-1191;3619;170;15640;3960;INLAND;771000
-12246;3777;520;31930;6880;NEAR BAY;4029000
-12214;3768;310;31840;7160;NEAR BAY;1831000
-12225;406;160;27530;4940;INLAND;1283000
-11828;3396;230;19830;6110;<1H OCEAN;914000
-11818;3393;310;15160;4000;<1H OCEAN;1229000
-12005;3696;370;10000;2610;INLAND;523000
-12214;3803;420;1180;340;NEAR BAY;2250000
-11946;3586;220;17500;3740;INLAND;427000
-11707;3367;110;9390;1870;INLAND;1458000
-11815;347;360;26960;4540;INLAND;1163000
-12229;3819;130;70650;12590;NEAR BAY;1486000
-12214;3771;270;30940;8660;NEAR BAY;1817000
-12157;3974;170;16190;2920;INLAND;1261000
-11712;3406;380;2810;550;INLAND;1208000
-12037;3469;180;18680;3150;NEAR OCEAN;2906000
-11815;338;440;18860;3990;NEAR OCEAN;2198000
-12227;3745;410;8300;1360;NEAR OCEAN;5000010
-11903;3608;190;27360;5490;INLAND;677000
-11831;3394;410;13530;2860;<1H OCEAN;1317000
-11818;3404;360;18070;6300;<1H OCEAN;1290000
-11807;340;370;29760;6360;<1H OCEAN;1673000
-11831;3408;300;13900;4570;<1H OCEAN;2545000
-12198;3733;250;32230;6120;<1H OCEAN;2876000
-11977;3679;340;26790;4600;INLAND;896000
-12139;3857;330;26480;3570;INLAND;3387000
-11834;3393;330;42940;12240;<1H OCEAN;1437000
-11549;3287;190;5410;1040;INLAND;1028000
-11717;3334;150;33130;6790;<1H OCEAN;1899000
-11729;3457;220;10540;2390;INLAND;683000
-11929;3444;340;43140;8780;NEAR OCEAN;2431000
-11837;3404;430;14650;2780;<1H OCEAN;2894000
-11834;3408;520;17210;1950;<1H OCEAN;5000010
-11802;3379;230;63680;10300;<1H OCEAN;2404000
-11705;3272;350;36690;6170;NEAR OCEAN;1339000
-12246;3829;210;24230;5600;NEAR BAY;1733000
-11919;3428;280;32310;5240;NEAR OCEAN;2242000
-12276;3846;140;47940;7670;<1H OCEAN;2131000
-12134;3864;170;27610;5010;INLAND;1397000
-11836;3403;380;23650;6380;<1H OCEAN;1207000
-12229;3786;500;24850;6070;NEAR BAY;1505000
-11971;3688;170;22360;3150;INLAND;1652000
-11718;3284;310;30640;5750;NEAR OCEAN;1759000
-12144;3851;270;72120;16060;INLAND;824000
-12263;3896;200;25070;5770;INLAND;602000
-1192;3426;250;22030;3670;NEAR OCEAN;2232000
-11813;3401;430;7820;2070;<1H OCEAN;1543000
-12183;3795;170;11330;2440;INLAND;1625000
-11866;3418;250;66120;8570;<1H OCEAN;4190000
-11709;3311;320;17130;3210;<1H OCEAN;1716000
-11767;3413;100;28460;3620;INLAND;3041000
-12144;3852;380;20800;3880;INLAND;766000
-1172;3316;130;45030;11370;<1H OCEAN;916000
-11876;3426;260;19290;2930;<1H OCEAN;2221000
-12245;3766;360;54560;9260;NEAR OCEAN;2807000
-11912;3537;130;45270;7130;INLAND;1462000
-12211;3982;270;10650;2140;INLAND;917000
-11765;3408;350;26210;3910;INLAND;1664000
-11692;3284;160;46750;8340;<1H OCEAN;1780000
-12007;3696;340;14570;2390;INLAND;965000
-1220;3731;330;42110;9180;<1H OCEAN;2422000
-11832;3406;430;28080;5840;<1H OCEAN;4368000
-12241;378;520;13940;3950;NEAR BAY;1688000
-11824;340;380;17150;4140;<1H OCEAN;1082000
-12175;3696;190;34610;6340;<1H OCEAN;1908000
-11762;3408;220;26260;6310;INLAND;1118000
-12185;3741;250;18370;2780;<1H OCEAN;2653000
-12098;3766;400;30120;6160;INLAND;1006000
-11813;342;460;26760;4270;INLAND;2955000
-12202;3738;430;12610;3170;<1H OCEAN;2246000
-11792;3408;350;21080;4080;<1H OCEAN;1852000
-11768;3415;240;10330;1890;INLAND;2135000
-11821;3395;350;21290;6140;<1H OCEAN;1608000
-11982;3676;460;21940;5630;INLAND;685000
-1182;3383;350;37370;6130;NEAR OCEAN;4903000
-11808;3456;140;51440;8870;INLAND;1372000
-11883;3417;170;46680;6280;<1H OCEAN;3539000
-12217;3773;520;15550;2890;NEAR BAY;1833000
-11832;3419;370;13350;2490;<1H OCEAN;3521000
-11841;3401;430;20000;5290;<1H OCEAN;3025000
-12095;3765;370;1360;200;INLAND;2250000
-11795;3363;270;8910;1830;<1H OCEAN;3815000
-11894;3418;250;35020;5080;<1H OCEAN;2421000
-11825;3386;260;30220;4760;<1H OCEAN;1864000
-11807;3387;280;23990;4360;<1H OCEAN;2201000
-11706;3262;360;7860;1250;NEAR OCEAN;1897000
-11825;3379;380;17300;4600;NEAR OCEAN;1504000
-11897;3537;410;23960;6020;INLAND;580000
-12287;3913;150;19270;4270;INLAND;865000
-1220;3736;250;35340;9490;<1H OCEAN;3370000
-12208;3741;200;18960;4560;NEAR BAY;2889000
-11711;3267;460;9280;2360;NEAR OCEAN;925000
-11801;3416;470;17450;2700;INLAND;3185000
-11802;3382;190;24850;4370;<1H OCEAN;2583000
-12244;3763;350;51130;9590;NEAR OCEAN;2813000
-11832;3394;370;27400;5040;<1H OCEAN;1688000
-12145;3856;520;34200;5550;INLAND;1738000
-12125;4027;250;9580;2450;INLAND;675000
-11841;3403;360;30530;6350;<1H OCEAN;5000010
-11961;3443;160;26650;3910;<1H OCEAN;5000010
-11498;3307;180;11830;3630;INLAND;575000
-12201;3844;120;23440;3540;INLAND;2812000
-11843;3427;360;10020;2500;<1H OCEAN;1480000
-12416;4078;430;22410;4460;NEAR OCEAN;820000
-11829;3398;420;28330;7680;<1H OCEAN;1000000
-11827;3394;300;17640;3970;<1H OCEAN;931000
-12192;3774;80;4520;510;<1H OCEAN;4324000
-12063;3868;140;18210;3160;INLAND;1317000
-11851;3422;360;19520;3870;<1H OCEAN;2092000
-12218;3777;520;17480;3620;NEAR BAY;1000000
-12228;379;520;23180;3280;NEAR BAY;3629000
-1180;3382;210;22530;5800;<1H OCEAN;2047000
-12226;3746;260;50670;7500;NEAR OCEAN;5000010
-12248;3769;330;23470;5120;NEAR OCEAN;2643000
-11831;3383;450;29290;7550;<1H OCEAN;2730000
-12018;3475;170;20740;3820;<1H OCEAN;4000000
-12197;3752;260;37610;6230;<1H OCEAN;2326000
-11726;3381;220;42490;9220;INLAND;1465000
-12061;3512;160;16710;3540;<1H OCEAN;1638000
-1217;3854;130;68190;11580;INLAND;2265000
-11809;3393;370;19500;3560;<1H OCEAN;1753000
-11793;3408;350;6890;1280;<1H OCEAN;2060000
-11799;3369;120;24800;8580;<1H OCEAN;3500000
-12241;3775;520;25150;5760;NEAR BAY;2849000
-11714;3405;50;26340;3590;INLAND;2041000
-12231;4049;180;40260;7180;INLAND;1184000
-11728;332;200;48350;8540;NEAR OCEAN;1521000
-1178;3367;40;33450;5520;<1H OCEAN;3291000
-11541;3299;290;11410;2200;INLAND;1078000
-11872;3429;220;32660;5290;<1H OCEAN;2480000
-12241;3761;420;16020;2620;NEAR OCEAN;3364000
-11817;3401;360;16570;4250;<1H OCEAN;1493000
-12192;3732;310;19020;5540;<1H OCEAN;1656000
-11638;341;60;21040;3480;INLAND;1163000
-12294;3857;330;15300;2660;<1H OCEAN;2667000
-11973;3668;320;7550;2050;INLAND;493000
-11708;3496;280;17770;3070;INLAND;798000
-11815;3396;330;14710;4510;<1H OCEAN;1609000
-1180;3368;120;52410;9850;<1H OCEAN;2854000
-12218;3781;300;2920;380;NEAR BAY;4833000
-11997;3644;180;11280;2370;INLAND;392000
-11888;3421;260;15900;1960;<1H OCEAN;3000000
-11798;3399;260;33430;4550;<1H OCEAN;3343000
-11831;3418;110;31120;8900;<1H OCEAN;1813000
-12219;3745;180;16360;4140;NEAR OCEAN;4646000
-11728;3416;350;20280;4560;INLAND;907000
-12266;3842;140;53150;10370;<1H OCEAN;2084000
-11775;3371;150;28490;5370;<1H OCEAN;1583000
-11778;3382;120;62080;7500;<1H OCEAN;4137000
-12058;3736;330;35640;7160;INLAND;675000
-11899;3524;400;2820;590;INLAND;917000
-11743;3398;210;26340;4210;INLAND;1522000
-11709;3276;310;25670;6240;NEAR OCEAN;1591000
-11837;342;340;21990;6090;<1H OCEAN;1718000
-12145;3861;460;17580;5110;INLAND;700000
-12135;3861;250;49160;12430;INLAND;1341000
-11927;3445;150;16590;2740;<1H OCEAN;3579000
-12101;3733;170;19260;4100;INLAND;715000
-12208;374;230;8060;1580;NEAR BAY;2846000
-11836;3417;310;19390;5050;<1H OCEAN;1995000
-11779;3373;30;82400;14100;<1H OCEAN;2913000
-12109;3948;250;16650;3740;INLAND;781000
-11849;3403;320;38510;9000;<1H OCEAN;4421000
-11642;3376;140;169210;28370;INLAND;3417000
-12151;3702;190;23720;3940;INLAND;3746000
-11698;3377;120;58290;13090;INLAND;1079000
-1184;3386;410;22370;5970;<1H OCEAN;5000010
-12165;3712;140;47210;9990;<1H OCEAN;2393000
-12049;3726;280;21590;4160;INLAND;830000
-12242;3761;370;18660;3000;NEAR OCEAN;3413000
-11736;3428;180;39030;7150;INLAND;1572000
-12214;3775;330;13340;2000;NEAR BAY;2559000
-11812;3404;350;10380;2090;<1H OCEAN;2549000
-12192;3732;390;8360;2540;<1H OCEAN;1926000
-11763;3437;200;70520;13060;INLAND;1671000
-11796;3389;240;13320;2520;<1H OCEAN;3341000
-11877;3427;70;30740;7940;<1H OCEAN;1964000
-11822;3421;290;21740;4180;<1H OCEAN;3417000
-12192;3654;330;53230;8870;NEAR OCEAN;4680000
-12182;3738;320;16500;2460;<1H OCEAN;3209000
-11882;352;340;21850;4690;INLAND;573000
-11702;3276;400;25230;4880;<1H OCEAN;1857000
-12242;3775;520;12070;3020;NEAR BAY;2625000
-12123;3798;270;8490;1370;INLAND;1813000
-11823;3465;170;18270;3480;INLAND;1363000
-12242;3772;420;42190;11250;NEAR BAY;2128000
-11722;3287;50;35110;10080;NEAR OCEAN;1766000
-11792;3385;380;20820;5320;<1H OCEAN;1661000
-12244;3776;520;21100;4540;NEAR BAY;3700000
-11795;3377;380;14760;3080;<1H OCEAN;1818000
-11817;3467;50;83520;15550;INLAND;1403000
-11962;3635;100;36740;7340;INLAND;803000
-11712;3274;460;18980;4410;NEAR OCEAN;1552000
-12115;3868;60;97980;15510;INLAND;1896000
-11765;341;440;28080;5850;INLAND;1393000
-11728;3451;100;46760;8840;INLAND;1004000
-1210;3725;210;19370;3890;INLAND;962000
-12221;3777;460;12340;3750;NEAR BAY;987000
-12131;3858;100;24210;5800;INLAND;1125000
-12182;3727;160;20300;3210;<1H OCEAN;2791000
-12131;3867;260;13870;2260;INLAND;1357000
-11901;3536;360;26580;6260;INLAND;570000
-11818;3398;300;17350;5730;<1H OCEAN;1561000
-12227;3787;520;30840;6980;NEAR BAY;2102000
-12126;3868;40;30800;8270;INLAND;1330000
-11812;3415;190;5570;2160;<1H OCEAN;1688000
-12418;4079;390;18360;3520;NEAR OCEAN;705000
-11648;3384;50;54800;13710;INLAND;1375000
-11963;3632;360;15180;2870;INLAND;610000
-11704;3404;300;34740;7350;INLAND;983000
-11848;3414;310;93200;11430;<1H OCEAN;5000010
-12211;3767;360;21100;3890;NEAR BAY;1875000
-11564;328;230;12280;2350;INLAND;1250000
-11825;3397;430;17350;5350;<1H OCEAN;988000
-1183;3389;300;27560;8580;<1H OCEAN;2078000
-11835;3393;260;31560;8570;<1H OCEAN;1919000
-11728;3415;320;21700;4300;INLAND;1350000
-11979;3632;190;32520;6140;INLAND;758000
-11825;3393;420;6570;1470;<1H OCEAN;1102000
-11917;3425;150;13290;2820;NEAR OCEAN;1893000
-12247;3775;450;23990;4260;NEAR BAY;3610000
-12246;3773;520;35470;5060;NEAR BAY;4268000
-11811;3386;360;27500;4870;<1H OCEAN;2217000
-1184;3401;480;14270;2530;<1H OCEAN;3516000
-12242;3776;460;21500;8170;NEAR BAY;2125000
-11829;3392;400;19350;4610;<1H OCEAN;1202000
-11916;3628;180;23770;4140;INLAND;793000
-12228;3799;280;38010;6220;NEAR BAY;1933000
-11803;3381;260;36350;5670;<1H OCEAN;2374000
-1177;3409;250;17190;3310;INLAND;1218000
-12196;3726;220;14080;3510;<1H OCEAN;3333000
-12077;3742;270;9490;2240;INLAND;728000
-11796;3403;350;16230;3310;<1H OCEAN;1526000
-1221;3789;210;32820;6530;NEAR BAY;3103000
-11978;3682;250;50160;4350;INLAND;895000
-11768;3408;210;56620;11850;INLAND;1373000
-11713;3271;380;9930;2460;NEAR OCEAN;827000
-1182;3402;260;360;90;<1H OCEAN;1750000
-12205;3768;320;20150;3180;NEAR BAY;2407000
-12206;3738;210;17980;3990;NEAR BAY;4700000
-12321;3914;390;14190;2620;<1H OCEAN;1146000
-11706;3275;340;25160;6110;NEAR OCEAN;1259000
-11855;3404;410;14820;2390;<1H OCEAN;5000010
-11816;339;280;24100;6160;<1H OCEAN;1567000
-12106;387;90;132550;17390;INLAND;2289000
-11816;3419;400;18400;3580;<1H OCEAN;1779000
-12221;3811;350;21220;4000;NEAR BAY;1246000
-11787;3374;310;23380;6520;<1H OCEAN;1585000
-12088;3737;240;12940;2220;INLAND;1031000
-12218;4002;300;19520;3970;INLAND;682000
-12134;3803;200;42130;7510;INLAND;1308000
-12088;3832;180;27910;4920;INLAND;1030000
-12132;3767;210;14940;2710;INLAND;2500000
-11718;327;420;16910;2860;NEAR OCEAN;4045000
-11843;3415;260;29000;6670;<1H OCEAN;4474000
-12086;3749;220;21400;4450;INLAND;894000
-1185;3425;320;23330;3890;<1H OCEAN;2411000
-1219;3728;260;37560;4350;<1H OCEAN;3200000
-11708;3312;430;1070;440;<1H OCEAN;1375000
-11698;3383;150;22280;4720;INLAND;1393000
-11695;3368;110;11830;1780;INLAND;1739000
-11835;3402;340;39780;10730;<1H OCEAN;1679000
-11849;3413;240;43940;4350;<1H OCEAN;5000010
-11727;345;80;35670;5430;INLAND;3026000
-11965;3634;460;17300;3370;INLAND;672000
-12133;3796;420;16190;3400;INLAND;803000
-11788;3378;260;31410;6700;<1H OCEAN;2374000
-12044;3731;160;33690;5320;INLAND;1262000
-12201;3735;330;25170;4960;<1H OCEAN;2895000
-11794;3392;280;6390;1790;<1H OCEAN;1452000
-11647;3407;220;54730;12340;INLAND;653000
-11785;338;400;14610;2860;<1H OCEAN;1941000
-11702;3278;310;25670;4350;<1H OCEAN;1630000
-12405;4085;310;24140;4280;NEAR OCEAN;1430000
-12196;3698;160;49070;11170;NEAR OCEAN;2292000
-11811;3415;400;19500;5090;<1H OCEAN;1961000
-11714;3296;120;59490;7990;<1H OCEAN;2415000
-12226;3787;520;10870;3710;NEAR BAY;1750000
-12241;3776;520;3510;810;NEAR BAY;3250000
-12066;3861;190;27150;5960;INLAND;1264000
-12111;3909;160;10000;1970;INLAND;1388000
-12144;3861;340;1720;380;INLAND;550000
-11549;3267;240;12660;2750;INLAND;731000
-12221;3748;390;15350;3400;NEAR BAY;2472000
-12205;3826;320;10700;1990;INLAND;989000
-11959;3652;350;9900;1920;INLAND;1016000
-11779;3384;90;104840;16030;<1H OCEAN;3653000
-12059;3735;150;32490;6130;INLAND;880000
-12093;3774;370;19560;4020;INLAND;919000
-1222;3778;450;17660;3320;NEAR BAY;1635000
-12144;3857;520;30800;5450;INLAND;1645000
-12071;3834;160;12570;2310;INLAND;1443000
-12199;3737;270;17970;5380;<1H OCEAN;2375000
-11769;340;280;7070;1540;INLAND;1116000
-11971;3445;350;21830;3630;<1H OCEAN;3844000
-11875;3418;40;167040;27040;NEAR OCEAN;3576000
-12202;3799;370;22470;4160;NEAR BAY;1619000
-12232;3756;260;23390;7040;NEAR OCEAN;4150000
-12248;3771;290;10480;1500;NEAR OCEAN;4176000
-11842;3424;170;20490;5480;<1H OCEAN;1637000
-11794;3402;270;50260;9550;<1H OCEAN;1629000
-11732;3312;250;26700;5270;NEAR OCEAN;3540000
-12372;4109;190;19700;4310;<1H OCEAN;500000
-11708;3273;190;29350;7630;NEAR OCEAN;1113000
-11841;3425;190;2800;840;<1H OCEAN;1375000
-11741;3409;210;33000;5870;INLAND;1306000
-12206;376;170;51590;8320;NEAR BAY;2344000
-11841;3396;150;4120;1280;<1H OCEAN;2667000
-12194;3725;160;39420;7490;<1H OCEAN;3328000
-11823;342;480;14730;2940;<1H OCEAN;3063000
-11814;3397;310;20640;6120;<1H OCEAN;1608000
-11706;3279;210;37870;4920;<1H OCEAN;3913000
-1212;392;160;10390;1820;INLAND;1283000
-12201;3793;250;26520;3350;NEAR BAY;3302000
-11823;3397;470;9320;2950;<1H OCEAN;1114000
-11961;3657;420;22420;5210;INLAND;651000
-11842;3736;180;22810;5200;INLAND;544000
-11824;3422;340;17220;4060;<1H OCEAN;2520000
-12227;3787;300;14650;4390;NEAR BAY;2688000
-12269;3835;160;16890;2540;<1H OCEAN;1918000
-12132;3797;460;22700;4270;INLAND;878000
-11721;3382;20;41980;8050;INLAND;1221000
-12274;3843;110;46700;10070;<1H OCEAN;1423000
-11971;368;170;14150;2670;INLAND;814000
-12247;3772;460;18360;3190;NEAR OCEAN;3990000
-12215;3771;360;9980;1780;NEAR BAY;1915000
-12128;3791;310;8200;1790;INLAND;659000
-12226;3783;500;11250;3220;NEAR BAY;1425000
-11814;3416;300;25980;7570;<1H OCEAN;1423000
-11764;3415;160;28960;4040;INLAND;3929000
-11793;3393;250;24310;5340;<1H OCEAN;1844000
-12128;3866;170;77410;14010;INLAND;2161000
-11594;3338;50;1860;430;INLAND;588000
-11723;332;210;22840;3600;<1H OCEAN;2125000
-12154;3951;330;35850;7570;INLAND;621000
-11914;3629;320;20840;4820;INLAND;483000
-11833;3404;310;10900;2510;<1H OCEAN;1925000
-11794;3408;350;23930;4170;<1H OCEAN;1877000
-11717;3428;130;48670;7180;INLAND;2538000
-12241;3779;520;33020;8690;NEAR BAY;5000010
-11785;3406;240;31280;4970;<1H OCEAN;4627000
-11793;3369;190;26020;4390;<1H OCEAN;2638000
-12219;3743;390;23920;4200;NEAR OCEAN;4728000
-11713;3272;430;21600;5040;NEAR OCEAN;1406000
-12132;380;220;21050;5210;INLAND;875000
-11932;3619;110;12810;2910;INLAND;723000
-11714;3275;370;18320;5250;NEAR OCEAN;1292000
-12203;3797;200;39680;9310;NEAR BAY;1667000
-12195;3721;200;23450;3220;<1H OCEAN;5000010
-11813;3384;460;24390;4290;<1H OCEAN;3124000
-11812;3423;520;4330;690;INLAND;1625000
-12164;367;320;40890;7350;<1H OCEAN;1425000
-11732;3408;410;13590;2640;INLAND;855000
-12239;3759;320;44970;4350;NEAR OCEAN;5000010
-11794;3382;270;13660;3260;<1H OCEAN;1969000
-1181;3389;340;22420;4360;<1H OCEAN;1856000
-11704;3299;60;95180;14180;<1H OCEAN;3149000
-11831;340;520;15420;3090;<1H OCEAN;1291000
-12135;3802;150;35830;6440;INLAND;1407000
-11704;3303;160;28520;4350;<1H OCEAN;2962000
-12144;3862;370;30090;7330;INLAND;610000
-11849;3404;480;23810;3450;<1H OCEAN;5000010
-1173;3418;280;26850;4250;INLAND;1111000
-12083;3927;140;33380;6080;INLAND;1601000
-11859;3423;170;65920;15250;<1H OCEAN;2545000
-11839;3388;340;19730;3670;<1H OCEAN;4727000
-12202;3736;240;17090;4370;<1H OCEAN;3352000
-12196;3728;330;19400;3270;<1H OCEAN;2804000
-12157;398;230;7900;1370;INLAND;1152000
-11843;3396;200;19010;2700;<1H OCEAN;5000010
-12205;3759;150;62430;12730;NEAR BAY;2125000
-11813;3401;450;11790;2680;<1H OCEAN;1618000
-11733;3316;290;35590;5520;NEAR OCEAN;2455000
-11827;3425;370;24890;4540;<1H OCEAN;2576000
-12067;3529;440;22360;4110;NEAR OCEAN;2193000
-12198;3723;330;35850;9350;<1H OCEAN;3963000
-12279;385;180;48390;9180;<1H OCEAN;2483000
-11723;3321;340;5440;1080;<1H OCEAN;1646000
-11799;3408;110;23990;5270;INLAND;1410000
-12158;3915;340;13760;3760;INLAND;555000
-11819;3387;420;12130;2690;<1H OCEAN;1521000
-11898;3538;280;11710;2990;INLAND;494000
-12228;3782;520;12380;2880;NEAR BAY;875000
-11903;354;350;26080;6200;INLAND;635000
-12216;3747;440;25810;4370;NEAR BAY;3417000
-1223;3777;420;20380;3680;NEAR BAY;2000000
-11805;3402;310;400;80;<1H OCEAN;3750000
-12188;3732;450;22130;5640;<1H OCEAN;1642000
-1181;3374;320;20350;4350;NEAR OCEAN;5000010
-11711;3278;160;22200;5120;NEAR OCEAN;1332000
-11729;3554;350;79220;16360;INLAND;404000
-11809;3407;310;10540;2520;<1H OCEAN;1885000
-11835;3407;460;16510;4100;<1H OCEAN;3500000
-11803;3411;380;20760;3610;INLAND;4169000
-11849;3402;300;20750;6870;<1H OCEAN;3667000
-1219;3735;420;20820;6260;<1H OCEAN;1853000
-11829;3389;350;28100;6140;<1H OCEAN;2006000
-11811;3419;500;14300;1860;INLAND;4833000
-11688;3425;110;10890;1980;INLAND;1760000
-11712;3296;150;28690;4050;<1H OCEAN;2383000
-12092;354;230;20590;3540;NEAR OCEAN;2788000
-12275;3843;360;15990;3450;<1H OCEAN;1491000
-11725;3322;190;21670;4430;<1H OCEAN;1358000
-12203;3754;60;29180;6720;NEAR BAY;1782000
-11766;3563;330;25790;5640;INLAND;421000
-12228;375;330;64990;9980;NEAR OCEAN;4313000
-11825;3401;450;7820;2700;<1H OCEAN;934000
-1187;3582;200;46420;13000;INLAND;821000
-12182;3973;440;29230;6590;INLAND;858000
-12221;3883;200;11380;2210;INLAND;1234000
-11816;3372;290;27430;7080;NEAR OCEAN;5000000
-12364;3945;210;33590;6770;<1H OCEAN;1407000
-11714;3315;170;11490;1820;<1H OCEAN;1684000
-12192;3734;520;25840;4910;<1H OCEAN;3913000
-11875;341;340;22550;4020;NEAR OCEAN;3773000
-11776;3405;360;38390;10040;INLAND;1162000
-11793;3369;260;28220;4730;<1H OCEAN;2610000
-12283;3839;190;17650;3940;<1H OCEAN;2603000
-11817;3385;370;37140;7080;<1H OCEAN;2005000
-11987;3683;40;48330;7840;INLAND;1225000
-11788;3401;160;67560;13320;<1H OCEAN;1782000
-11938;363;140;19320;3300;INLAND;932000
-12191;3697;190;49200;10920;NEAR OCEAN;2319000
-11788;3384;330;15260;2370;<1H OCEAN;2250000
-11828;3404;390;11550;4330;<1H OCEAN;1534000
-11784;3398;260;36380;5570;<1H OCEAN;2212000
-1181;3401;420;14360;2980;<1H OCEAN;1958000
-1224;3762;440;16190;3620;NEAR OCEAN;2242000
-12237;3758;520;21880;3610;NEAR OCEAN;5000000
-11722;3331;120;29240;4330;<1H OCEAN;3313000
-11827;3394;370;9730;2210;<1H OCEAN;949000
-12026;3713;330;12390;2500;INLAND;588000
-11852;3421;340;16630;2990;<1H OCEAN;2110000
-11796;3382;320;27260;5560;<1H OCEAN;1974000
-11799;3368;140;33050;8410;<1H OCEAN;2167000
-1183;3372;280;26470;6580;NEAR OCEAN;2534000
-11828;3397;400;21800;6420;<1H OCEAN;901000
-11955;366;180;23790;4480;INLAND;571000
-12247;3765;270;81030;16550;NEAR OCEAN;2362000
-11836;3398;390;8130;1850;<1H OCEAN;2188000
-12136;3801;160;9260;2300;INLAND;1733000
-12242;3761;170;10400;4320;NEAR OCEAN;1375000
-12208;3771;350;22110;3500;NEAR BAY;2386000
-1184;340;440;21220;3850;<1H OCEAN;3443000
-12198;3796;220;29870;4350;INLAND;2041000
-11726;332;130;31630;7250;<1H OCEAN;1219000
-11821;3402;430;18110;5130;<1H OCEAN;1333000
